timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687506493571,115,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-1,text,true,,1934,165,1,1,https://pokeapi.co/api/v2/berry/pinap,115,0,87
1687506553325,736,pokeapi.co/api/v2/berry/razz,200,OK,PokeApi - run 1-1,text,true,,1912,164,1,1,https://pokeapi.co/api/v2/berry/razz,736,0,0
1687506612769,87,pokeapi.co/api/v2/berry/iapapa,200,OK,PokeApi - run 1-1,text,true,,1926,166,1,1,https://pokeapi.co/api/v2/berry/iapapa,87,0,63
1687506689504,102,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-1,text,true,,1928,165,1,1,https://pokeapi.co/api/v2/berry/pinap,102,0,79
1687506749403,0,pokeapi.co/api/v2/berry-firmness/pinap,Non HTTP response code: org.apache.http.client.ClientProtocolException,Non HTTP response message: URI does not specify a valid host name: http:/api/v2/berry-firmness/pinap,PokeApi - run 1-1,text,false,"Test failed: code expected to equal /

****** received  : [[[Non HTTP response code: org.apache.http.client.ClientProtocolException]]]

****** comparison: [[[200                                                                   ]]]

/",1137,0,1,1,http:/api/v2/berry-firmness/pinap,0,0,0
1687506761223,90,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-2,text,true,,1922,165,10,10,https://pokeapi.co/api/v2/berry/pinap,90,0,66
1687506761232,81,pokeapi.co/api/v2/berry/razz,200,OK,PokeApi - run 1-8,text,true,,1957,164,10,10,https://pokeapi.co/api/v2/berry/razz,81,0,57
1687506761233,86,pokeapi.co/api/v2/berry/iapapa,200,OK,PokeApi - run 1-9,text,true,,1922,166,8,8,https://pokeapi.co/api/v2/berry/iapapa,86,0,61
1687506761225,94,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-1,text,true,,1926,165,8,8,https://pokeapi.co/api/v2/berry/pinap,94,0,72
1687506761232,88,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-7,text,true,,1932,165,8,8,https://pokeapi.co/api/v2/berry/pinap,88,0,66
1687506761229,93,pokeapi.co/api/v2/berry/razz,200,OK,PokeApi - run 1-5,text,true,,1949,164,8,8,https://pokeapi.co/api/v2/berry/razz,92,0,68
1687506761233,91,pokeapi.co/api/v2/berry/pinap,200,OK,PokeApi - run 1-10,text,true,,1922,165,5,5,https://pokeapi.co/api/v2/berry/pinap,91,0,66
1687506761230,102,pokeapi.co/api/v2/berry/iapapa,200,OK,PokeApi - run 1-6,text,true,,1920,166,3,3,https://pokeapi.co/api/v2/berry/iapapa,101,0,76
