timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687540838743,209,pokeapi.co/api/v2/location/canalave-city,200,OK,PokeApi - run 1-3,text,true,,1618,176,3,3,https://pokeapi.co/api/v2/location/canalave-city,209,0,174
1687540838743,209,pokeapi.co/api/v2/location/pastoria-city,200,OK,PokeApi - run 1-2,text,true,,1615,176,3,3,https://pokeapi.co/api/v2/location/pastoria-city,209,0,174
1687540838743,209,pokeapi.co/api/v2/location/eterna-city,200,OK,PokeApi - run 1-1,text,true,,1696,174,3,3,https://pokeapi.co/api/v2/location/eterna-city,209,0,174
1687540838956,55,pokeapi.co/api/v2/location-area/2,200,OK,PokeApi - run 1-1,text,true,,14516,169,3,3,https://pokeapi.co/api/v2/location-area/2,30,0,0
1687540838956,66,pokeapi.co/api/v2/location-area/3,200,OK,PokeApi - run 1-2,text,true,,15659,169,3,3,https://pokeapi.co/api/v2/location-area/3,55,0,0
1687540838956,67,pokeapi.co/api/v2/location-area/1,200,OK,PokeApi - run 1-3,text,true,,15985,169,3,3,https://pokeapi.co/api/v2/location-area/1,64,0,0
1687540839011,27,pokeapi.co/api/v2/region/2,200,OK,PokeApi - run 1-1,text,true,,7197,162,3,3,https://pokeapi.co/api/v2/region/2,26,0,0
1687540839023,24,pokeapi.co/api/v2/region/1,200,OK,PokeApi - run 1-3,text,true,,9460,162,3,3,https://pokeapi.co/api/v2/region/1,23,0,0
1687540839022,25,pokeapi.co/api/v2/region/3,200,OK,PokeApi - run 1-2,text,true,,10206,162,3,3,https://pokeapi.co/api/v2/region/3,24,0,0
1687540839039,38,pokeapi.co/api/v2/pal-park-area/2,200,OK,PokeApi - run 1-1,text,true,,20825,169,3,3,https://pokeapi.co/api/v2/pal-park-area/2,24,0,0
1687540839047,34,pokeapi.co/api/v2/pal-park-area/1,200,OK,PokeApi - run 1-3,text,true,,12574,169,3,3,https://pokeapi.co/api/v2/pal-park-area/1,29,0,0
1687540839047,35,pokeapi.co/api/v2/pal-park-area/3,200,OK,PokeApi - run 1-2,text,true,,18216,169,3,3,https://pokeapi.co/api/v2/pal-park-area/3,29,0,0
