timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687278017262,389,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1144,179,1,1,https://apisimpsons.fly.dev/api/personajes/find/apu,389,0,100
1687278017652,349,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1225,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/krusty,349,0,0
1687278018001,292,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,2350,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/homero,292,0,0
1687278018293,289,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1892,180,1,1,https://apisimpsons.fly.dev/api/personajes/find/bart,289,0,0
1687278018583,297,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,3187,180,1,1,https://apisimpsons.fly.dev/api/personajes/find/lisa,290,0,0
1687278018882,288,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1144,179,1,1,https://apisimpsons.fly.dev/api/personajes/find/apu,288,0,0
1687278019170,291,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1225,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/krusty,291,0,0
1687278019462,300,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,2350,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/homero,300,0,0
1687278019762,341,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1892,180,1,1,https://apisimpsons.fly.dev/api/personajes/find/bart,341,0,0
1687278020104,301,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,3187,180,1,1,https://apisimpsons.fly.dev/api/personajes/find/lisa,297,0,0
1687278020406,291,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1144,179,1,1,https://apisimpsons.fly.dev/api/personajes/find/apu,291,0,0
1687278020698,295,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1225,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/krusty,295,0,0
1687278020993,292,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,2350,182,1,1,https://apisimpsons.fly.dev/api/personajes/find/homero,292,0,0
1687278021285,292,01 GET Personajes 15USR/2mins,200,OK,EX1 - SimpsonsAPI (RampUp) 1-1,text,true,,1892,180,1,1,https://apisimpsons.fly.dev/api/personajes/find/bart,292,0,0
